PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Zach LaVine,SAC,32,0.3,1.7,0.91,0.3,0.1,0.3,44.4,55.6,0,18.2,0,0,36.4,23.7
Jordan Clarkson,UTA,37,0.3,1.9,0.83,0.3,0.1,0.2,33.3,44.4,16.7,8.3,8.3,0,41.7,16.6
Kyle Kuzma,MIL,33,0.4,2.5,0.77,0.3,0.1,0.3,44.4,44.4,7.7,23.1,7.7,0,38.5,10.2
RJ Barrett,TOR,58,0.3,1.2,0.67,0.2,0.1,0.2,33.3,37.5,6.7,13.3,6.7,0,33.3,5.6
Anthony Black,ORL,78,0.2,1.9,0.63,0.1,0.1,0.1,36.4,36.4,6.3,25,0,0,31.3,3.4
Pat Connaughton,MIL,41,0.3,5.1,0.82,0.2,0.1,0.3,36.4,40.9,0,0,0,0,36.4,15.1
Ziaire Williams,BKN,63,0.2,1.7,0.82,0.1,0,0.1,37.5,50,9.1,18.2,9.1,0,36.4,15.1
Russell Westbrook,DEN,75,0.2,1.1,0.69,0.1,0.1,0.1,44.4,44.4,7.7,23.1,7.7,0,38.5,6.8
Keyonte George,UTA,67,0.2,1.1,0.69,0.1,0,0.1,33.3,33.3,15.4,23.1,15.4,7.7,30.8,6.8
Tidjane Salaün,CHA,60,0.4,4.7,0.43,0.2,0,0.3,13.3,20,9.5,19,9.5,0,19,0.8
Coby White,CHI,74,0.1,0.7,0.8,0.1,0,0.1,33.3,44.4,0,10,0,0,30,14.3
CJ McCollum,NOP,56,0.3,1.4,0.5,0.1,0.1,0.3,21.4,25,12.5,0,6.3,0,25,2.3
D'Angelo Russell,LAL,29,0.6,4.4,0.47,0.3,0.1,0.4,23.1,23.1,11.8,11.8,11.8,0,29.4,1.9
Garrison Mathews,ATL,47,0.4,5.7,0.44,0.2,0.1,0.4,17.6,23.5,5.6,5.6,5.6,5.6,16.7,1.1
Kelly Olynyk,NOP,20,0.6,5,0.64,0.4,0.2,0.5,33.3,33.3,9.1,9.1,9.1,0,36.4,4.2
Brandon Ingram,NOP,18,0.6,2.6,0.64,0.4,0.2,0.5,33.3,38.9,0,18.2,0,0,27.3,4.2
Gabe Vincent,LAL,72,0.2,2.5,0.5,0.1,0,0.1,20,30,0,16.7,0,0,16.7,2.3
Terance Mann,LAC,37,0.4,5.5,0.39,0.1,0.1,0.3,18.2,18.2,7.7,7.7,7.7,0,23.1,0.4
Jose Alvarado,NOP,56,0.2,1.6,0.2,0,0,0.1,12.5,12.5,0,20,0,0,10,0
