PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Jamal Murray,DEN,67,6.9,34,1,6.9,2.7,5.8,47.3,53.1,6,11.2,5.4,0.9,44.7,79.8
Nikola Jokić,DEN,70,1.7,6.8,0.99,1.7,0.6,1.2,48.8,61,10.7,19.8,8.3,1.7,43.8,79.5
Talen Horton-Tucker,CHI,58,1.8,28.5,0.99,1.8,0.6,1.4,45.7,48.8,18.7,11.2,18.7,5.6,47.7,79.2
Anfernee Simons,POR,70,7.1,36.9,0.99,7,2.6,5.8,44.3,52.2,7.7,11.9,7.5,2,42.1,78.9
Zach LaVine,CHI,42,5.7,26.7,0.99,5.7,2,4.5,45.2,55.3,7.1,15.4,6.2,0.4,41.9,78.5
Marcus Sasser,DET,57,2.4,35.8,0.98,2.3,0.9,1.9,47.2,55.2,6,16.4,5.2,1.5,41.8,78.2
Cameron Payne,NYK,72,2.8,38.4,0.98,2.7,1.1,2.4,44.9,52,4,9,3.5,1,42.5,77.9
Josh Hart,NYK,77,0.9,6.5,0.98,0.8,0.3,0.6,54.3,64.1,7.6,25.8,7.6,3,42.4,77.6
De'Andre Hunter,ATL,37,1.5,8.9,0.98,1.5,0.6,1.4,44.2,51.9,1.8,5.4,1.8,0,42.9,77.3
Tyrese Maxey,PHI,52,8.5,33.1,0.98,8.3,3,7.2,42,50.1,8.2,9.3,7.7,2.3,41.5,77
Jordan Poole,WAS,68,6.2,30.7,0.98,6.1,2,4.7,42.8,53.3,10.1,15.3,8.5,0.9,41.5,76.7
Derrick White,BOS,76,3.5,22.9,0.98,3.4,1.1,2.8,41.1,52.6,8.6,13.9,6.4,1.1,39.8,76.4
Alec Burks,MIA,49,0.8,12.5,0.97,0.8,0.3,0.6,45.2,54.8,10,17.5,7.5,5,40,76.1
Bogdan Bogdanović,LAC,30,2.8,26.5,0.96,2.7,1.1,2.3,50,56.6,3.5,16.5,3.5,0,43.5,75.8
Luka Dončić,DAL,22,10.2,37.2,0.96,9.8,3.3,8,41.1,47.7,15.6,11.6,14.3,5.4,42,75.5
Lonzo Ball,CHI,35,1.5,18.3,0.96,1.5,0.5,1.1,48.7,61.5,3.7,24.1,3.7,0,38.9,75.2
D'Angelo Russell,LAL,29,4.3,32.6,0.96,4.2,1.4,3.3,42.7,48.4,12.7,11.9,11.1,0.8,44.4,74.9
Vít Krejčí,ATL,57,0.9,13.5,0.96,0.8,0.3,0.7,47.5,57.5,2,18.4,2,2,38.8,74.6
Quentin Grimes,DAL,47,1,10.3,0.96,1,0.4,0.9,45,55,4.3,12.8,4.3,2.1,40.4,74.3
Andrew Nembhard,IND,65,3.1,28.3,0.95,3,1.1,2.2,50.7,53.8,12.9,17.3,10.4,1.5,46.5,74
Jayson Tatum,BOS,72,7.4,28.6,0.95,7,2.4,5.8,41,52.2,8.3,14.5,7.2,1.5,38.9,73.7
Tre Jones,CHI,18,2.4,25.3,0.95,2.3,0.9,2.1,43.2,43.2,13.6,6.8,11.4,4.5,45.5,73.3
Lauri Markkanen,UTA,47,0.5,2.6,0.95,0.4,0.1,0.3,50,53.6,13.6,22.7,13.6,0,45.5,73.3
Immanuel Quickley,TOR,33,4.6,27.9,0.95,4.4,1.5,3.5,41,48.7,13.1,12.4,11.8,2,42.5,72.8
Deni Avdija,POR,72,3.6,21.7,0.95,3.4,1.2,2.3,50.3,57.2,16.5,24.2,15.4,5,43.5,72.5
Dennis Schröder,BKN,23,6.5,35.9,0.95,6.2,2.5,4.9,50.9,55.8,8.1,19.5,7.4,2.7,43.6,72.2
Jordan Miller,LAC,37,0.5,11.3,0.95,0.5,0.2,0.5,38.9,38.9,15,0,10,5,45,71.9
Franz Wagner,ORL,60,6.4,26.8,0.94,6.1,2.3,4.9,45.9,49.2,11.7,13.2,11.7,1.6,45.3,71.6
Chris Paul,SAS,82,3.5,38.9,0.94,3.3,1.2,2.7,45.3,55.8,3.5,19.4,3.1,0.7,38.1,71.3
Trae Young,ATL,76,12.3,47.5,0.94,11.5,3.6,8.8,41.7,50.8,12.5,17.9,10.2,1.7,40.3,71
Devin Booker,PHX,75,7.4,30.1,0.94,6.9,2.4,5.6,42.7,47.9,11.9,14.4,11.4,2,42.2,70.7
Desmond Bane,MEM,69,4.1,22.7,0.93,3.9,1.5,3.6,42.4,49.6,4.2,10.2,3.9,0.4,40.4,70.3
A.J. Lawson,TOR,26,0.6,6.5,0.93,0.5,0.2,0.3,44.4,44.4,20,20,20,0,46.7,70.3
Collin Sexton,UTA,63,4.9,27.4,0.93,4.6,1.7,3.6,48.4,53.3,11.9,17.4,10.3,1.6,44.7,69.8
Luka Dončić,LAL,28,8.4,30.7,0.93,7.9,2.5,5.9,41.8,51.2,15.3,17.4,14.4,2.5,41.5,69.5
Kawhi Leonard,LAC,37,4.3,21.4,0.93,4,1.7,3.7,44.9,49.6,4.4,10.1,4.4,1.3,42.1,69.2
Jamison Battle,TOR,59,0.2,3.7,0.93,0.2,0.1,0.2,45.5,59.1,0,21.4,0,0,35.7,68.8
Peyton Watson,DEN,68,0.2,2.6,0.93,0.2,0.1,0.1,40,40,21.4,14.3,21.4,7.1,42.9,68.8
Cade Cunningham,DET,70,11.1,40.7,0.93,10.3,4,8.6,46.4,51.8,8.5,16.2,7.6,1.4,42.6,68.3
CJ McCollum,NOP,56,5.6,26.6,0.92,5.2,2.1,4.6,45.3,50.8,6.7,13,5.7,1,42.5,68
Craig Porter Jr.,CLE,51,1.3,33.3,0.92,1.2,0.5,0.9,50,57.6,4.7,23.4,3.1,0,40.6,67.7
Jalen Green,HOU,82,9.3,42.8,0.92,8.6,3.2,7.5,42.2,48.9,8.8,12.5,8.1,2.1,40.8,67.4
Shaedon Sharpe,POR,72,4.7,25.2,0.92,4.4,1.7,4,41.8,47.4,8.8,10,7.9,2.3,41.3,67.1
Jaden Hardy,DAL,57,2.3,24.8,0.92,2.1,0.8,1.7,48.5,52.6,9.8,18.2,9.1,1.5,43.9,66.7
Bogdan Bogdanović,ATL,24,1,8.8,0.92,0.9,0.3,0.5,53.8,57.7,12.5,33.3,8.3,0,41.7,66.7
Kevin Durant,PHX,62,3.8,15.9,0.92,3.5,1.3,2.6,49.4,51.9,12.4,19.2,12,0.9,45.3,66.2
Devin Vassell,SAS,64,3.1,19.3,0.91,2.8,1.2,2.6,46.4,49.1,7.1,11.7,7.1,3,42.6,65.9
T.J. McConnell,IND,79,4.9,50.5,0.91,4.5,2,4.1,50.2,50.6,4.9,12.9,4.1,0.5,45.6,65.6
Cameron Johnson,BKN,57,2.4,14.5,0.91,2.2,0.8,1.8,43.7,48.5,9.6,15.4,6.6,0.7,41.9,65.2
DaQuan Jeffries,CHA,47,0.7,10,0.91,0.7,0.3,0.6,44.4,50,8.8,11.8,8.8,0,44.1,65.2
Coby White,CHI,74,5.5,28.6,0.91,5,1.8,4.1,43.4,48.8,10.3,17.2,9.1,2.2,40.5,64.7
Jalen Suggs,ORL,35,5.8,32.1,0.91,5.3,1.9,4.3,44.3,50,10.4,18.3,7.9,2.5,40.6,64.4
Khris Middleton,MIL,23,3.4,29.2,0.91,3.1,1.2,2.7,43.5,50.8,6.4,15.4,5.1,1.3,39.7,64
Spencer Dinwiddie,DAL,79,2.9,26.2,0.91,2.7,0.9,2.3,40.2,46.1,13,13.4,13,3.9,39.8,63.7
Andrew Wiggins,MIA,17,5.1,26.9,0.91,4.6,1.7,3.8,45.3,49.2,14.9,17.2,13.8,5.7,42.5,63.4
Tyler Herro,MIA,77,7.3,33.1,0.91,6.6,2.5,5.5,45.3,52,8.2,18.5,7.6,2.3,40,63.1
Kyle Kuzma,MIL,33,1.9,12.3,0.91,1.7,0.8,1.5,53.1,54.1,6.3,17.5,6.3,1.6,46,62.8
Malik Monk,SAC,65,5,27.7,0.9,4.5,1.7,3.9,44.7,50,7.7,16.4,7.1,2.2,40.4,62.5
Jrue Holiday,BOS,62,1.3,12.1,0.9,1.2,0.5,1.1,43.3,50,6,15.7,4.8,2.4,38.6,62.2
LaMelo Ball,CHA,47,10,37.2,0.9,9,3.2,8.1,39.4,47.8,8.3,12.6,7.4,1.9,38.3,61.9
Danté Exum,DAL,20,2.6,29.8,0.9,2.3,0.9,1.8,47.2,50,15.7,15.7,15.7,2,45.1,61.6
Davion Mitchell,MIA,30,2.6,25.7,0.9,2.3,1,1.9,50,56.9,5.1,21.8,5.1,1.3,41,61.3
Dalen Terry,CHI,73,0.5,10.8,0.9,0.5,0.2,0.4,50,51.9,13.2,18.4,10.5,0,44.7,61
Naz Reid,MIN,80,0.6,4.3,0.89,0.5,0.2,0.5,38.1,44,6.4,4.3,6.4,0,40.4,60.7
Michael Porter Jr.,DEN,77,0.7,4.4,0.89,0.6,0.3,0.6,44.4,54.4,0,18.2,0,0,36.4,60.4
Paolo Banchero,ORL,46,6.3,24.1,0.89,5.7,2,5,40.2,46.1,13.4,12,12.7,3.8,40.8,60.1
LeBron James,LAL,70,4.2,17.8,0.89,3.8,1.5,3.1,47.5,54.1,7.4,20.2,6.7,1.3,40.4,59.5
Brice Sensabaugh,UTA,71,1.5,14.7,0.89,1.4,0.5,1.1,43,56.3,3.7,24.1,2.8,0.9,34.3,59.5
Buddy Hield,GSW,82,0.7,6,0.89,0.6,0.2,0.5,37.8,48.9,3.7,13,1.9,0,35.2,59.5
Alex Sarr,WAS,67,0.4,2.6,0.89,0.4,0.1,0.3,50,55,11.1,18.5,11.1,3.7,40.7,59.5
Bennedict Mathurin,IND,72,3.7,23,0.89,3.2,1.1,2.7,40.6,44.8,14.8,13.3,13.7,1.1,43,58.6
Luguentz Dort,OKC,71,0.4,3.9,0.89,0.3,0.1,0.3,39.1,45.7,7.7,3.8,7.7,0,38.5,58.3
Jared Butler,WAS,32,3,43.6,0.88,2.6,1.2,2.5,46.8,48.7,8.4,13.7,7.4,5.3,41.1,58
Jordan Clarkson,UTA,37,4.4,25.7,0.88,3.9,1.4,3.3,42.6,49.2,9.1,17.7,6.7,1.2,39,57.7
D'Angelo Russell,BKN,29,5.9,40.1,0.88,5.2,1.6,4.3,36.5,44.8,13.5,15.3,12.4,2.9,37.1,57.3
Trendon Watford,BKN,44,2.3,20.9,0.88,2,0.8,1.6,52.2,52.9,11.8,22.5,9.8,2,45.1,57.3
Dyson Daniels,ATL,76,2.3,15.3,0.88,2,0.9,1.8,48.5,49.6,9.7,15.4,9.7,2.9,43.4,56.8
Marcus Smart,WAS,15,2.7,28.7,0.88,2.4,0.8,1.7,46.2,48.1,19.5,17.1,9.8,0,48.8,56.5
Malcolm Brogdon,WAS,24,5.5,40.8,0.88,4.8,1.8,4.4,41,41.4,13,9.2,11.5,2.3,43.5,56.2
Tre Mann,CHA,13,6.2,41.8,0.88,5.5,2.2,5.2,42.6,47.1,4.9,12.3,4.9,1.2,39.5,55.9
Ochai Agbaji,TOR,64,0.5,5.3,0.88,0.4,0.2,0.4,48.1,51.9,0,15.6,0,0,40.6,55.5
Nic Claxton,BKN,70,0.2,2.2,0.88,0.2,0.1,0.2,42.9,42.9,6.3,6.3,6.3,0,43.8,55.5
Mike Conley,MIN,71,2.4,29.2,0.87,2.1,0.7,1.8,38.6,49.2,6.5,18.3,5.9,0,35.5,55
