PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Scottie Barnes,TOR,65,2.2,10.5,0.86,1.9,0.8,1.8,41.7,44.2,9,9.7,9,1.4,42.1,43.7
RJ Barrett,TOR,58,1,4.5,0.86,0.9,0.3,0.7,42.1,42.1,27.6,8.6,27.6,1.7,51.7,43.7
Brandin Podziemski,GSW,64,0.6,4.8,0.86,0.5,0.1,0.4,33.3,40.7,16.7,8.3,13.9,0,38.9,43.2
Chris Paul,SAS,82,1.1,12.5,0.86,1,0.4,1,37.2,44.8,2.2,6.5,2.2,1.1,35.5,42.8
Jalen Green,HOU,82,2.5,11.4,0.86,2.1,0.7,2,35.2,40,13.3,7.9,13.3,2.5,38.9,42.2
Dyson Daniels,ATL,76,0.6,3.7,0.86,0.5,0.2,0.4,44.1,47.1,7.1,11.9,7.1,0,40.5,42.2
Alperen Sengun,HOU,76,2.8,14.1,0.86,2.4,1,2.2,44.5,44.5,14.4,13,13.9,3.2,44.4,41.7
Amen Thompson,HOU,69,1.1,7.9,0.85,0.9,0.4,0.8,48.3,48.3,9.3,16,9.3,2.7,42.7,41.3
Karl-Anthony Towns,NYK,72,2.4,10.8,0.85,2,0.7,1.8,39.8,40.6,16.5,11.2,16.5,5.9,40.6,41
De'Aaron Fox,SAC,45,3,12,0.85,2.6,1,2.3,42.9,45.2,10.4,14.1,10.4,2.2,41.5,40.4
Ausar Thompson,DET,59,0.5,4.5,0.85,0.4,0.2,0.4,42.9,42.9,11.1,11.1,11.1,0,44.4,40.4
Devin Carter,SAC,36,0.4,7.8,0.85,0.3,0.1,0.3,33.3,41.7,7.7,0,7.7,0,38.5,39.6
Kenrich Williams,OKC,69,0.2,3.2,0.85,0.2,0.1,0.2,41.7,41.7,7.7,7.7,7.7,7.7,38.5,39.6
Darius Garland,CLE,75,1.5,7.8,0.84,1.3,0.5,1.2,39.3,44.4,9.6,14.8,7.8,1.7,38.3,39.1
Tosan Evbuomwan,BKN,28,0.7,6.5,0.84,0.6,0.1,0.5,30.8,34.6,26.3,5.3,26.3,0,42.1,38.3
Vasilije Micić,CHA,36,0.5,5.2,0.84,0.4,0.1,0.3,33.3,41.7,15.8,21.1,15.8,0,36.8,38.3
Michael Porter Jr.,DEN,77,0.2,1.5,0.84,0.2,0.1,0.2,46.2,53.8,15.8,21.1,15.8,5.3,42.1,38.3
OG Anunoby,NYK,74,0.6,3.9,0.83,0.5,0.2,0.5,31.6,39.5,12.5,8.3,12.5,0,37.5,37.2
Deandre Ayton,POR,40,0.3,2.1,0.83,0.3,0.1,0.3,45.5,45.5,0,8.3,0,0,41.7,37.2
Jakob Poeltl,TOR,57,0.2,1.6,0.83,0.2,0.1,0.2,40,40,8.3,8.3,8.3,0,41.7,37.2
Evan Mobley,CLE,71,0.8,5,0.83,0.7,0.3,0.6,42.9,45.2,15.3,15.3,15.3,1.7,44.1,36.5
Stephon Castle,SAS,81,1.6,9.8,0.83,1.3,0.5,1.2,37.8,38.3,20.9,9.3,19.4,6.2,43.4,36.2
Joel Embiid,PHI,19,3.4,14,0.83,2.8,1.1,2.7,39.2,39.2,12.5,9.4,12.5,1.6,42.2,35.8
Khris Middleton,MIL,23,0.7,6.4,0.82,0.6,0.3,0.7,40,46.7,0,11.8,0,0,35.3,35.4
Tristan da Silva,ORL,74,0.1,2,0.82,0.1,0,0.1,42.9,50,9.1,27.3,9.1,0,36.4,35.1
Jared Butler,PHI,28,1.9,15.5,0.81,1.6,0.6,1.8,35.3,39.2,5.6,1.9,5.6,1.9,37,34.7
Norman Powell,LAC,60,1.3,6.4,0.81,1,0.3,1,33.9,38.1,10.7,10.7,10.7,0,37.3,34.3
Jaden Hardy,DAL,57,0.8,9,0.81,0.7,0.3,0.7,43.6,47.4,6.3,12.5,6.3,0,37.5,33.9
Tobias Harris,DET,73,0.9,7.1,0.81,0.8,0.3,0.7,42.3,42.3,13.2,14.7,13.2,4.4,41.2,33.6
Dalton Knecht,LAL,78,0.3,4.1,0.81,0.3,0.1,0.3,34.8,45.7,0,11.5,0,0,30.8,33.2
Keyonte George,UTA,67,2.1,11.8,0.81,1.7,0.5,1.7,27.9,32.9,19.4,6.9,18.8,3.5,36.8,32.8
Trae Young,ATL,76,2.7,10.3,0.8,2.1,0.6,2.1,30.1,33.7,16.7,8.9,13.3,2.5,37.4,32.5
P.J. Washington,DAL,57,1.1,6.9,0.8,0.8,0.2,0.6,36.1,38.9,21.7,20,21.7,1.7,41.7,31.1
Caleb Martin,PHI,31,1,9.7,0.8,0.8,0.3,0.7,38.1,40.5,20,13.3,20,3.3,40,31.1
Malik Beasley,DET,82,0.4,2.5,0.8,0.3,0.1,0.3,34.6,42.3,3.3,10,3.3,0,33.3,31.1
GG Jackson,MEM,29,0.5,6.1,0.8,0.4,0.1,0.3,40,40,26.7,13.3,26.7,6.7,46.7,31.1
Julian Champagnie,SAS,82,0.2,1.9,0.8,0.1,0,0.1,27.3,31.8,13.3,13.3,13.3,0,33.3,31.1
Kelly Oubre Jr.,PHI,60,1,6.4,0.79,0.8,0.3,0.7,35.7,35.7,19.3,8.8,19.3,1.8,42.1,30
Keaton Wallace,ATL,31,0.6,9.5,0.79,0.5,0.2,0.5,31.3,34.4,10.5,5.3,10.5,0,36.8,30
Ricky Council IV,PHI,73,0.5,5.7,0.79,0.4,0.1,0.4,34.5,36.2,12.1,6.1,12.1,6.1,36.4,29.5
Kawhi Leonard,LAC,37,3.3,16.4,0.79,2.6,1,2.7,38,41.5,5.7,13.1,5.7,0.8,36.1,29.2
Kevin Porter Jr.,LAC,45,2.2,18.6,0.79,1.7,0.7,1.8,36.6,38.4,9.2,8.2,9.2,1,38.8,28.8
Julius Randle,MIN,69,2.5,13.4,0.79,2,0.6,1.7,35.9,38,15.1,18.6,13.4,1.7,37.8,28.4
Svi Mykhailiuk,UTA,38,0.6,6.3,0.78,0.5,0.2,0.6,38.1,40.5,4.3,8.7,4.3,4.3,34.8,27.8
Precious Achiuwa,NYK,57,0.4,5.7,0.78,0.3,0.1,0.3,44.4,44.4,8.7,13,8.7,0,43.5,27.8
Scotty Pippen Jr.,MEM,79,0.4,4,0.78,0.3,0.1,0.3,52.4,52.4,15.6,25,15.6,6.3,40.6,27.3
Moritz Wagner,ORL,30,0.6,5.2,0.78,0.5,0.2,0.4,50,50,11.1,22.2,5.6,0,44.4,26.9
Bennedict Mathurin,IND,72,1.7,10.5,0.78,1.3,0.5,1.4,32.7,39.6,9.2,10,8.3,3.3,32.5,26.3
